user,tweet,sentiment
White_technolog,у район управ собира местн жител #бирюлево #live #whitepower,2
White_technolog,“ тем времен кон полиц добра до бирюлев ” #бирюлево #live #бунт,2
White_technolog,в центр появ тощ прыщав мужичонк с красн повязк ьдружинник #live #бунт #москва #бирюлево,3
White_technolog,как пишет товарищ в смс на площад революц черн черн в смысл орд черножоп #live #бирюлево #москва,3
White_technolog,на стм пушкинск  полицейск с дубинк и каск один  черножоп #москва #live #бирюлево,3
White_technolog,в вост #бирюлево на одн палатк с кошатин стал меньш #live,1
ruspoker,  массов задержан мигрант в москв эт нарушен прав!  #новости #сми #бирюлево #навальный,3
ruspoker,рт! молния! зомб в #бирюлево! напада на всех! он повсюду! #спорт #россии #гринпис #novosti #russia #news #путин ,3
ruvr_ru,бирюлевск убийц #зейналов рвет на свобод  #бирюлево #москва #moscow #russia #news,3
ruvr_ru,в #бирюлево найд убит гражданин узбекиста  #news,3
ruvr_ru,#зейналов в разговор с полицейск призна вин  мвд #news #бирюлево,2
ruvr_ru,овощебаз в #бирюлево закрыва в рамк уголовн дел  #news,2
ruvr_ru,увол начальник полиц #бирюлево западн анатол #якунин:  #moscow #news #москва #полиция,2
ruvr_ru,полиц назва им предполага убийц егор щербаков  #щербаков #бирюлево #news #москва,2
ruvr_ru,#гумвд: фигурант уголовн дел о хулиганств в #бирюлево оста тро  #news #moscow #russia #москва,2
ruvr_ru,бирюлевск убийц #зейналов рвет на свобод  #бирюлево #москва #moscow #russia #news,3
ruvr_ru,#зейналов в разговор с полицейск призна вин  мвд #news #бирюлево,2
ruvr_ru,в росс появ центр для предотвращен межнациональн конфликт  #мигранты #news,2
Mir24TV,арест орха зейналов обжал … #news #бирюлево #зейналов,2
Mir24TV,блогер рассказа поч в #бирюлево нет профилактик преступлен  … #news #novosti #москва #мигранты,2
Mir24TV,орха #зейналов арестова на два месяц … #news #бирюлево #щербаков #москва,2
Mir24TV,#зейналов заяв что не убива москвич щербаков … #news #novosti #бирюлево #щербаков,1
Mir24TV,ильгар #гаджиев: мы ожида справедлив суд на зейналов … #news #бирюлево #зейналов #щербаков,1
Mir24TV,вниман вопрос кто сам популярн политик в западн бирюлев  #news #бирюлево #москва,2
Mir24TV,зейналов «сдала» полиц азербайджанск диаспор … #news #novosti #зейналов #щербаков #бирюлево,3
Mir24TV,орха #зейналов объясн убийств щербаков самооборон … #news #новости #бирюлево,2
Mir24TV,суд закр на  дне овощебаз в западн #бирюлево … #news #новости #москва #novosti,2
Mir24TV,во врем допрос #зейналов заб русск язык … #news #новости #бирюлево #щербаков,3
Mir24TV,убийц егор щербаков обвин в случ алкогол … #news #зож #бирюлево #щербаков,2
Mir24TV,отец орха зейналов попрос прощен за сын … #news #бирюлево #орханзенайлов,1
Mir24TV,#собянин рассказа о причин погром в западн #бирюлево … #news #новости #москва #мигранты #снг,2
Mir24TV,в #бирюлево уб гражданин узбекиста … #news #новости #жесть #узбекистан #снг #мигранты,3
Mir24TV,полиц москв назва им предполага убийц егор щербаков … #news #щербаков #мигранты #бирюлево,2
Mir24TV,#бастрыкин приеха на овощебаз в #бирюлево … #news #новости #novosti #мигранты,2
Mir24TV,глав московск полиц увол начальник #овд западн #бирюлево … #news #щербаков #novosti #мигранты,2
Mir24TV,омбудсм лукин поддержа введен визов режим со стран #снг … #news #новости #бирюлево #содружество #мигранты,2
Mir24TV,по москв ката #бтр и два «тигра» … #news #новости #бирюлево #novosti,3
Mir24TV,в #бирюлево закр овощн баз … #news #новости #москва,2
Mir24TV,погром в #бирюлево: хронолог событ … #news #новости #жесть #москва,2
Mir24TV,#мвд объясн драк мигрант на северовосток москв конфликт с работодател … #news #бирюлево #мигранты,3
Mir24TV,#сми: на овощебаз в #бирюлево едут бтры … #news #новости #novosti #жесть,3
Mir24TV,"десятк мигрант бегут к овощебаз в #бирюлево, чтоб успет раньш полиц … #news #новости",2
Mir24TV,в бирюлев продолжа массов задержан …  #news #новости #novosti #бирюлево,2
Mir24TV,арест орха зейналов обжал … #news #бирюлево #зейналов,2
Mir24TV,орха #зейналов арестова на два месяц … #news #бирюлево #щербаков #москва,2
Mir24TV,#зейналов заяв что не убива москвич щербаков … #news #novosti #бирюлево #щербаков,2
Mir24TV,ильгар #гаджиев: мы ожида справедлив суд на зейналов … #news #бирюлево #зейналов #щербаков,1
Mir24TV,у здан пресненск суд усил мер безопасн … #news #новости #зейналов,2
Mir24TV,зейналов «сдала» полиц азербайджанск диаспор … #news #novosti #зейналов #щербаков #бирюлево,3
Mir24TV,орха #зейналов объясн убийств щербаков самооборон … #news #новости #бирюлево,2
Mir24TV,во врем допрос #зейналов заб русск язык … #news #новости #бирюлево #щербаков,3
Mir24TV,прокуратур росс взял за #фмс … #news #снг #мигранты #содружество,3
Mir24TV,на рынк «#садовод» задержа порядк тысяч мигрант … #news #novosti #новости #снг #мигранты,2
Mir24TV,на московск рынк «#садовод» нашл контрафактн джинс и дух … #news #новости #novosti #мигранты #москва,3
