tweet,sentiment
в вост #бирюлево на одн палатк с кошатин стал меньш #live,1
у район управ собира местн жител #бирюлево #live #whitepower,2
 тем времен кон полиц добра до бирюлев,2
в центр появ тощ прыщав мужичонк с красн повязк дружинник #live #бунт #москва #бирюлево,3
как пишет товарищ в смс на площад революц черн черн в смысл орд черножоп #live #бирюлево #москва,3
на стм пушкинск полицейск с дубинк и каск один черножоп #москва #live #бирюлево,3
в вост #бирюлево на одн палатк с кошатин стал меньш #live,1
 international массов задержан мигрант в москв эт нарушен прав #новости #сми #бирюлево #навальный,3
рт молн зомб в #бирюлево напада на всех он повсюд #спорт #россии #гринпис #novosti #russia #news #путин,3
бирюлевск убийц #зейналов рвет на свобод #бирюлево #москва #moscow #russia #news,3
в #бирюлево найд убит гражданин узбекиста #news,3
#зейналов в разговор с полицейск призна вин мвд #news #бирюлево,2
овощебаз в #бирюлево закрыва в рамк уголовн дел #news,2
увол начальник полиц #бирюлево западн анатол #якунин #moscow #news #москва #полиция,2
полиц назва им предполага убийц егор щербаков #щербаков #бирюлево #news #москва,2
#гумвд фигурант уголовн дел о хулиганств в #бирюлево оста тро #news #moscow #russia #москва,2
бирюлевск убийц #зейналов рвет на свобод #бирюлево #москва #moscow #russia #news,3
#зейналов в разговор с полицейск призна вин мвд #news #бирюлево,2
в росс появ центр для предотвращен межнациональн конфликт #мигранты #news,2
арест орха зейналов обжал #news #бирюлево #зейналов,2
блогер рассказа поч в #бирюлево нет профилактик преступлен #news #novosti #москва #мигранты,2
орха #зейналов арестова на два месяц #news #бирюлево #щербаков #москва,2
#зейналов заяв что не убива москвич щербаков #news #novosti #бирюлево #щербаков,1
ильгар #гаджиев мы ожида справедлив суд на зейналов #news #бирюлево #зейналов #щербаков,1
вниман вопрос кто сам популярн политик в западн бирюлев #news #бирюлево #москва,2
зейналов сдал полиц азербайджанск диаспор #news #novosti #зейналов #щербаков #бирюлево,3
орха #зейналов объясн убийств щербаков самооборон #news #новости #бирюлево,2
суд закр на дне овощебаз в западн #бирюлево #news #новости #москва #novosti,2
во врем допрос #зейналов заб русск язык #news #новости #бирюлево #щербаков,3
убийц егор щербаков обвин в случ алкогол #news #зож #бирюлево #щербаков,2
отец орха зейналов попрос прощен за сын #news #бирюлево #орханзенайлов,1
#собянин рассказа о причин погром в западн #бирюлево #news #новости #москва #мигранты #снг,2
в #бирюлево уб гражданин узбекиста #news #новости #жесть #узбекистан #снг #мигранты,3
полиц москв назва им предполага убийц егор щербаков #news #щербаков #мигранты #бирюлево,2
#бастрыкин приеха на овощебаз в #бирюлево #news #новости #novosti #мигранты,2
глав московск полиц увол начальник #овд западн #бирюлево #news #щербаков #novosti #мигранты,2
омбудсм лукин поддержа введен визов режим со стран #снг #news #новости #бирюлево #содружество #мигранты,2
по москв ката #бтр и два тигр #news #новости #бирюлево #novosti,3
в #бирюлево закр овощн баз #news #новости #москва,2
погром в #бирюлево хронолог событ #news #новости #жесть #москва,2
#мвд объясн драк мигрант на северовосток москв конфликт с работодател #news #бирюлево #мигранты,3
#сми на овощебаз в #бирюлево едут бтры #news #новости #novosti #жесть,3
десятк мигрант бегут к овощебаз в #бирюлево чтоб успет раньш полиц #news #новости,2
в бирюлев продолжа массов задержан #news #новости #novosti #бирюлево,2
арест орха зейналов обжал #news #бирюлево #зейналов,2
орха #зейналов арестова на два месяц #news #бирюлево #щербаков #москва,2
#зейналов заяв что не убива москвич щербаков #news #novosti #бирюлево #щербаков,2
ильгар #гаджиев мы ожида справедлив суд на зейналов #news #бирюлево #зейналов #щербаков,1
у здан пресненск суд усил мер безопасн #news #новости #зейналов,2
зейналов сдал полиц азербайджанск диаспор #news #novosti #зейналов #щербаков #бирюлево,3
