tweet,sentiment
bfmtv les us et ob offrent leur aid so on contin à se justifier so on apprend du fbi et ci #jesuischarlie,1
timelaps de la cart du mond des tweets #jesuischarlie depuis le impressionnante mobilisation globa,2
soutenir la liberté de la press sabonner o acheter les journaux en question #jesuischarlie zdar #charliehebdo,2
sout #jesuischarlie #charliehebbo,2
sout le nouve dessin d uderz #charliehebdo #jesuischarlie,2
sout #charliehebdo #jesuischarlie,2
sout #charliehebdo #jesuischarlie,2
terrifiant reims #jesuischarlie #charliehebdo,2
le hashtag #jesuischarlie a dépassé les millions de tweets,1
#jesuischarlie prièr du vendred à saint et,1
témoignages de sout à #charliehebdo venus du mond entier par afpphot,1
#jesuischarlie berlin ri montre paris nombreuses manifestations de sout dans le mond,1
#jesuischarlie manifestation de sout à bogot en colomb #afp,1
on pourr pas fair seul grand rassemblement #marseille #aix franchement #jesuischarliesinon tant pis je ferais auj et demain,0
pour le rassemblement populair ce ser donc demain h sur le vieux port à marseill et h dimanch devant mair daix #jesuischarlie,1
besoin damour vit rentrer à la maison et serrer mes enfants dans mes bras #jesuischarlie,2
voilà je vais fair ça a moins je me sentir ut un pe à mon pet nive #jesuischarlie #opcharliehebdo #anonymous #lastrt,2
merc nyc rt jbcadier new york times squar #jesuischarlie,2
noublions pas la minut de silenc pas de tweet sur twitter à heures #jesuischarlie #charliehebdo #noussommescharlie,1
bon dimanch lass bath id00 #onfaitlapaix #salam #shalom #marcherepublicaine #jesuischarlie #noussommescharlie,1
merc thank y josephmuscat_jm europe suppport and maltas presenc ar warming for the peopl of franc #jesuischarlie kurtfarrug,2
merc graz matteorenz per su presenz a parig doma il support dellita tocc molt il popol frances #jesuischarlie,2
jespèr qu ce #jesuischarlie continuer à être utilisé partout où la liberté est menacé id00 #noussommescharlie,2
#jesuischarlie hashtag le plus populair de lhistoir un hashtag de courag et de solidarité un hashtag de franc,2
els ahmed cab charb michel franck honoré tignous bernard fred wolinsk moustaph et ce matin ils étaient là #jesuischarlie,1
aln unhommedegauch le_figar le pen est un pléonasm #jesuisahmed #jesuischarlie #noussommescharlie,1
lesoir clairvoyant_l merc sentinelles masqués des réseaux du net #jesuischarlie #noussommescharlie,2
demain les transports en commun seront gratuits en ile-de-france pour la manifestation républicain #jesuischarlie venez nombreux,2
